Loc,Cmp,To ship,Customer,order,qty,shipdate,comments,,# of cases,,Entered on sheet,To Finishing,To Shipping
m4,TRUE,-3,corp,s52094 n,200,3/21,patches,,2,,3/15     5:36AM,3/20     7:26AM,3/22     6:18AM
m3,TRUE,1,camp,685443 y,264,3/27,-,,2,,3/13     6:15AM,3/21     6:56AM,3/22     4:38PM
m6,TRUE,2,corp,s52029 n,300,3/28,cap,,2,,3/14     1:24PM,3/22     5:51AM,3/22     4:38PM
m5,TRUE,0,summit,s52051 y,48,3/23,pants,,2,,3/13     1:04PM,3/16     1:10AM,3/22     4:38PM
m5,TRUE,1,corp,s52102 n,3,3/27,-,,1,,3/14     1:29PM,3/21     6:42AM,3/22     4:38PM
m5,TRUE,4,corp,s52151 n,114,3/30,event,,1,,3/20     5:05AM,3/22     5:55AM,3/22     4:38PM
m4,TRUE,2,corp,s52155 n,48,3/28,cap,,1,,3/14     1:19PM,3/22     6:02AM,3/22     4:38PM
m6,TRUE,4,corp,s52174 n,8,3/30,-,,1,,3/21     7:16AM,3/22     5:52AM,3/22     4:38PM
m6,TRUE,4,corp,s52176 n,33,3/30,-,,1,,3/21     7:16AM,3/22     5:52AM,3/22     4:38PM
m5,TRUE,2,corp,s52181 n,49,3/28,firm,,1,,3/21     6:56AM,3/22     5:54AM,3/22     4:38PM
m5,TRUE,3,corp,s52161 n,2,3/29,-,,2,,3/20     5:03AM,3/21     6:42AM,3/22     4:38PM
m5,TRUE,5,corp,s52164 n,7,4/3,-,,2,,3/20     5:03AM,3/21     6:42AM,3/22     4:38PM
m2,TRUE,7,camp,699558 y,574,4/6,caps,,4,,3/1     1:05AM,3/24     2:15AM,3/24     2:15AM
m4,TRUE,-6,corp,s52002 n,13,3/20,asap,,1,,3/23     8:05AM,3/23     8:55AM,3/27     6:28AM
m3,TRUE,0,camp,692792 y,68,3/27,-,,3,,3/13     6:15AM,3/27     7:18AM,3/27     7:46AM
m4,TRUE,-3,corp,s52126 n,200,3/27,cap/back,,1,,3/14     5:45AM,3/27     8:53AM,3/28     6:15AM
m3,FALSE,2,corp,s52230 n,60,4/3,-,,2,,3/27     6:32AM,,3/29     7:07AM
m6,TRUE,2,corp,s52183 n,2,4/3,-,,2,,3/21     2:37PM,3/27     7:55AM,3/29     7:08AM
m5,TRUE,-3,corp,s52160 n,91,3/28,-,,2,,3/21     6:22AM,3/27     11:53AM,3/29     7:09AM
m1,TRUE,5,camp,699603 y,588,4/6,-,,25,,3/13     6:15AM,3/29     11:27AM,3/29     11:27AM
m6,TRUE,1,corp,s52212 n,15,3/30,bags,,2,,3/21     2:37PM,3/27     11:52AM,3/29     3:05PM
m4,TRUE,0,corp,s52309 n,48,3/29,caps,,1,,3/28     7:30PM,3/29     11:26AM,3/29     3:05PM
m4,TRUE,2,corp,s52233 n,64,4/3,event,,1,,3/27     6:32AM,3/29     11:26AM,3/29     3:05PM
m2,TRUE,-3,corp,s52158 y,83,3/30,sooner,,1,,3/21     6:25AM,3/28     7:30PM,3/31     6:34AM
m3,TRUE,-4,camp,689148 y,108,4/3,on hold,,3,,3/13     6:15AM,4/4     7:46AM,4/4     7:46AM
m3,TRUE,0,corp,s52271 n,24,4/6,-,,1,,3/28     7:30PM,4/4     3:31PM,4/6     6:30AM
m2,TRUE,0,camp,706649 n,288,4/6,-,,1,,4/3     7:09AM,4/6     2:53PM,4/6     2:53PM
m6,TRUE,0,camp,706650 n,144,4/6,-,,1,,4/3     7:09AM,4/6     2:53PM,4/6     2:53PM
m2,TRUE,-7,corp,s52167 n,596,3/30,rush,,1,,3/27     6:32AM,4/10     6:58AM,4/10     6:58AM
